Company Name,Stated Target Description,Stated Target Year,Stated Net-Zero Year,Target Classification,Source URL,Confidence,Notes
nib holdings limited (nib Group),50% reduction in absolute Scope 1 and 2 GHG emissions by 2030 from a 2021 baseline (443.2 tCO2e); 25% reduction in select Scope 3 categories by 2030 from a 2020 baseline.,2030.0,,Quantitative non-validated,https://www.nib.com.au/about-nib/sustainability,High,Already surpassed Scope 1+2 target ahead of schedule per third-party trackers. Scope 3 progress lagging baseline. No long-dated net-zero year disclosed. SBTi not validated.
Woodside Energy Group Ltd,15% reduction in net equity Scope 1 and 2 GHG emissions by 2025 and 30% by 2030 from starting base; aspiration of net zero Scope 1+2 by 2050 or sooner; Scope 3: invest US$5bn in new energy products by 2030 with 5 Mtpa abatement capacity.,2030.0,2050.0,Quantitative non-validated,https://www.woodside.com/docs/default-source/investor-documents/major-reports-(static-pdfs)/2024-annual-report/climate-update-2024.pdf,High,Targets rely on offsets (ACCUs and other carbon credits). 2024 retired 1.3M credits. CTAP rejected by 58% of shareholders at 2024 AGM. Not SBTi-validated.
Glencore Holdings Pty Limited,"Reduce Scope 1, 2 and 3 industrial CO2e emissions by 15% by end-2026, 25% by end-2030, and 50% by end-2035 against a restated 2019 baseline; ambition to achieve net zero industrial CO2e emissions by end-2050 (subject to supportive policy environment).",2035.0,2050.0,Quantitative non-validated,https://www.glencore.com/sustainability/esg-a-z/climate-change,High,2024-2026 Climate Action Transition Plan published Mar 2024; targets are group-level (Glencore plc) covering Australian operations. Net zero ambition is policy-conditional. Not SBTi-validated.
Cleanaway Waste Management Limited,Climate-aligned targets (separated methane and CO2) under Blueprint 2030 strategy; aiming to reduce Scope 1 and 2 emissions in line with a 1.5C pathway from FY22 baseline (~1189 ktCO2e in FY23); achieved 5.4% gross Scope 1+2 reduction in FY24.,2030.0,,Quantitative non-validated,https://www.cleanaway.com.au/sustainability-report,Medium,Targets described as '1.5C-aligned' but specific % reduction quantum to 2030 not clearly stated in public materials reviewed. Methane (~80% of footprint) and CO2 tracked separately. Not SBTi-validated.
Stanmore Resources Limited,Subject to Australian Safeguard Mechanism (4.9% annual emissions intensity decline to 2030 against 2020-22 baseline); aligns with Australia's net zero by 2050 commitment; group decarbonisation plan in development; VAM-style project at South Walker Creek under FID.,2030.0,2050.0,Aspirational,https://www.stanmore.au/wp-content/uploads/2025/04/Stanmore-Sustainability-Report-2024.pdf,Medium,No corporate-level quantified Scope 1+2 reduction target beyond regulatory Safeguard obligation. Net zero 2050 is alignment with national policy rather than firm target. High potential BD value.
Coronado Australia Holdings Pty Ltd,30% reduction in absolute Scope 1 and 2 emissions by 2030 (group target) from 2019 baseline; primary lever is VAM (Ventilation Air Methane) capture at Buchanan and Curragh; 60% emission reduction at Buchanan complex by 2030.,2030.0,,Quantitative non-validated,https://coronadoglobal.com/sustainability/emissions-reduction-projects/,High,Group is Coronado Global Resources Inc. (NASDAQ/ASX); Australian entity reports under group plan. 2023 SR shows 11% Scope 1+2 reduction achieved. No long-dated net-zero year. Not SBTi-validated.
SGH Limited,Group-level decarbonisation strategy disclosed via FY24 annual report (operating businesses include Boral concrete/cement which has Boral-specific 2050 net-zero ambition); no consolidated SGH-wide quantified emissions reduction target identified at parent level.,,2050.0,Aspirational,https://www.sgh.com.au/investor-centre/annual-reports,Low,Most relevant subsidiary climate targets sit at the operating company level (Boral has its own 2050 net zero pathway and FY30 milestones). Recommend a separate look at Boral and WesTrac for granular target verification.
Appen Limited,Appen's Net Zero Carbon Roadmap sets net zero emissions for business operations by 2025 and net zero emissions across the whole business by 2030. FY25 reporting continues implementing the roadmap and working towards net zero across operations by 2030.,2030.0,2030.0,SBTi committed,https://cdn.prod.website-files.com/656a605609413dfd3feb9d34/65a98d9fff171bd045c10d39_Appen_Net_Zero_Carbon_Roadmap65.pdf,Medium,Latest explicit target document is the 2022 Net Zero Carbon Roadmap; FY25 reporting frames operations net zero as 2030.
ASX Limited,"ASX achieved a 100% reduction in market-based Scope 1 and 2 emissions in FY25 against an FY21 baseline, supported by 99%+ purchased electricity via GreenPower. Net zero S1+S2 in FY25 after offsets.",2025.0,2025.0,Quantitative non-validated,https://www.asx.com.au/content/dam/asx/annual-reports/asx-2025-annual-report.pdf,High,Target boundary is Scope 1 and 2 only; residual emissions offset in FY25.
Australian Ethical Investment,Net zero target by 2040 for company and private sector investments; separate 2050 net zero for government bonds and other public sector investments. FY25 reporting tracks portfolio carbon intensity and clean-energy exposure as progress indicators rather than separate near-term targets.,2040.0,2040.0,Net-zero only,https://www.australianethical.com.au/globalassets/pdf-files/shareholder/tcfd-reports/2022-TCFD-Report.pdf,Medium,Latest explicit target-year source is FY22 climate report; FY25 tracks progress metrics.
Downer EDI Limited,50% absolute Scope 1 and 2 GHG reduction by 2032 from a 2020 baseline; net zero S1+S2 by 2050. Aligned with 1.5°C pathway via SBTi tools but not SBTi-validated.,2032.0,2050.0,Quantitative non-validated,https://downergroup.com/wp-content/uploads/sites/4/2025/11/Downer_2025_Sustainability_Report__web_.pdf,High,Scope 3 target under review per FY25 disclosure.
Flight Centre Travel Group,46.2% absolute Scope 1 and 2 GHG reduction by 2030 from a 2019 base year; renewable electricity equivalent to 100% of global power needs by 2028; net zero by 2050. SBTi validation expected in 2026; Scope 3 targets under development.,2030.0,2050.0,SBTi committed,https://cdn.prod.website-files.com/643e6b4601023f66d9745f21/69fac05bd44d2721f0b5a1ef_FY25%20Responsible%20Business%20Report-compressed.pdf,High,"Originally submitted to SBTi Dec 2022, re-engaged after methodology changes; validated targets expected 2026."
Fortescue Metals Group Ltd,'Real Zero' to eliminate Scope 1 and 2 emissions from Australian terrestrial iron ore operations in the Pilbara by 2030 (no offsets). Net zero Scope 3 target by 2040; 2030 intensity targets for shipping and steelmaking customers.,2030.0,2040.0,Quantitative non-validated,https://content.fortescue.com/fortescue17114-fortescueeb60-productionbbdb-8be5/media/project/fortescueportal/shared/documents/publications/reports/fy25-climate-transition-plan.pdf,High,Operational target is 'Real Zero' (no offsets); 2040 net-zero refers to Scope 3 / value chain.
Inghams Group Ltd,46.2% absolute Scope 1 and 2 GHG reduction by 2030 from FY19 baseline; develop Scope 3 target by 2030; 75% green electricity by 2030. SBTi commitment removed in FY24 after declining to commit to Scope 3.,2030.0,,Quantitative non-validated,https://inghams.com.au/wp-content/uploads/2025/10/Inghams-FY25-Sustainability-Governance-and-Management-Approach-FINAL.pdf,High,No current corporate net-zero year stated; FY24 explicitly notes prior SBTi commitment was removed.
Metrics Credit Partners,100% renewable electricity by 2030; 50% absolute Scope 1+2 reduction by 2030 from 2021 baseline; portfolio temperature alignment to 2.3°C (S1+S2) and 2.5°C (S1+S2+S3) by 2027; long-term net-zero value-chain target by 2050.,2030.0,2050.0,Quantitative non-validated,https://cdn.prod.website-files.com/68c86f6ba294798b0ee25625/696ec4affa43347f28041e93_Climate-report-23-24-Final.pdf,High,Working toward SBTi verification; not yet validated per FY24/FY25 primary sources.
nib holdings limited,50% absolute Scope 1+2 reduction by 2030 from FY21 baseline; 25% reduction in Scope 3 by 2030 from FY20 baseline; net zero by 2040.,2030.0,2040.0,Quantitative non-validated,https://www.nib.com.au/docs/2025-group-climate-related-disclosure,High,Current targets exclude financed emissions; may be revisited after FY26 re-baselining.
Stockland Corporation Limited and Stockland Trust,Net zero Scope 1 and 2 in 2025; 52% reduction in most material Scope 3 emissions intensity by 2030 from 2021 baseline; net zero Scope 1+2+3 by 2050.,2030.0,2050.0,Quantitative non-validated,https://www.stockland.com.au/globalassets/corporate/investor-centre/fy25/fy25/stockland-annual-report-2025.pdf,High,Near-term operational target = S1+S2 net zero in 2025; whole-of-value-chain net zero is 2050.
Vicinity Centres,Net zero carbon Scope 1 and 2 by 2030 in common mall areas across wholly-owned retail assets. FY24/FY25 disclosures show progress against FY16 baseline; no separate quantified near-term reduction target beyond the 2030 endpoint.,2030.0,2030.0,Net-zero only,https://www.vicinity.com.au/assets/sb/f/129601/x/a684e91389/2024-annual-report.pdf,High,Target boundary narrower than full portfolio — covers common mall areas of wholly-owned retail assets.
Adherium Ltd,No public climate target identified in FY24/FY25 reporting.,,,No public target,https://www.adherium.com/investors/financial-reports/,Low,No evidence of SBTi validation or commitment found.
Ansell Limited,Reduce absolute Scope 1 and 2 GHG emissions 42% by FY2030 from FY2021 base year and reduce absolute Scope 3 emissions 25% over the same period.,2030,2040,SBTi committed,https://www.ansell.com/-/media/projects/ansell/website/pdf/investors-relations/annual-report-2024/sustainability-pdf.ashx,High,SBTi-approved near-term and net-zero targets referenced in FY24 sustainability reporting.
Aristocrat Leisure Limited,Targeting operational emissions reduction through renewable electricity procurement and efficiency measures; no validated quantitative SBTi target identified.,,,Aspirational,https://www.aristocrat.com/aristocrat-releases-fy25-sustainability-report/,Medium,No active SBTi validation identified.
Bendigo and Adelaide Bank Limited,Targeting net zero operational emissions and financed emissions alignment with Paris goals; financed emissions targets continue to develop.,2030,2050,Net-zero only,https://www.bendigoadelaide.com.au/globalassets/documents/investor-centre/2024-sustainability-report.pdf,Medium,No current validated SBTi target identified.
Boral Limited,Reduce Scope 1 and 2 emissions 46% by 2030 from FY2019 baseline and net zero by 2050.,2030,2050,Quantitative non-validated,https://www.boral.com.au/sites/default/files/media/field_document/Boral-Sustainability-Report-2024.pdf,High,Public quantitative targets disclosed; SBTi validation not confirmed.
Brambles,Reduce absolute Scope 1 and 2 emissions 42% and Scope 3 emissions 17% by FY2030 from FY2020 baseline.,2030,2040,SBTi committed,https://www.brambles.com/sustainability/reports-and-disclosures,High,SBTi-validated near-term targets and net-zero target publicly disclosed.
CSL Limited,Reduce absolute Scope 1 and 2 GHG emissions 40% by 2030 from FY2019 baseline and continue Scope 3 reduction initiatives.,2030,2050,Quantitative non-validated,https://www.csl.com/-/media/csl/documents/annual-report/csl-sustainability-report-2024.pdf,Medium,No active SBTi validation identified.
Coles Group Limited,Reduce combined Scope 1 and 2 emissions by more than 75% by FY2035 from FY2020 baseline and achieve net zero by 2050.,2035,2050,SBTi committed,https://www.colesgroup.com.au/content/dam/coles/about-coles/reports/2024/2024-sustainability-report.pdf,High,SBTi-approved near-term targets referenced.
Computershare Limited,Targeting net zero operational emissions with renewable electricity transition and supply chain engagement.,2030,2050,Net-zero only,https://www.computershare.com/corporate/Documents/cpu-sustainability-report-2024.pdf,Medium,No validated SBTi target identified.
Dexus,Reduce Scope 1 and 2 emissions 70% by 2030 from 2017 baseline and achieve net zero by 2040.,2030,2040,Quantitative non-validated,https://www.dexus.com/investors/reporting-centre,High,Net-zero pathway disclosed; SBTi validation not confirmed.
Domino's Pizza Enterprises Ltd,Targeting reduction in operational emissions and renewable electricity transition; no quantified validated target identified.,,2050,Aspirational,https://investors.dominos.com.au/site/PDF/7e9d0ef3-bca8-4b6a-9f2a-b48c72d6d7ec/SustainabilityReport2024,Low,No SBTi validation identified.
EVT Limited,No public quantitative climate target identified in FY24/FY25 disclosures.,,,No public target,https://www.evt.com/investors/reports-presentations/,Low,No evidence of SBTi target or commitment.
